Urban,Pop2010,OHU2010,PovertyRate,MedianFamilyIncome,TractLOWI,LA1and10
0,3762,1499,13.5,52012.0,1416.0,0
0,1814,753,40.3,30625.0,1168.0,1
0,4410,1827,31.1,32344.0,2105.0,0
0,2821,1184,46.5,27167.0,2336.0,1
0,3534,1370,18.2,55929.0,1395.0,1
0,1582,681,21.8,55764.0,758.0,1
0,1590,643,18.2,47361.0,682.0,0
0,2093,826,24.9,54276.0,890.0,0
0,5399,2122,34.6,29329.0,2998.0,0
0,1562,631,30.2,39605.0,750.0,1
0,1910,762,18.0,50284.0,739.0,0
0,2962,1183,16.2,52369.0,1118.0,0
0,3093,1347,18.9,51181.0,1102.0,0
0,1842,740,14.3,53359.0,750.0,0
1,5951,2340,9.0,64744.0,2299.0,1
0,1544,622,12.9,51417.0,741.0,0
0,4949,1887,8.0,79074.0,1373.0,0
1,9001,3759,7.8,78845.0,1805.0,1
1,8142,3258,5.6,93542.0,1457.0,1
1,3928,1755,17.0,49857.0,1861.0,1
1,3589,1457,21.1,41719.0,1886.0,1
1,2484,1081,11.7,90714.0,714.0,0
1,3458,1616,14.5,63750.0,1154.0,0
1,2471,956,57.2,19375.0,1529.0,0
1,2662,1069,22.3,42250.0,1481.0,0
0,7774,3024,19.9,60553.0,3399.0,0
1,4657,1867,11.8,67500.0,1595.0,1
1,5145,1958,34.0,30966.0,3379.0,0
1,3849,1669,22.4,45688.0,1748.0,0
1,2539,1070,53.9,20313.0,1771.0,0
1,3093,1118,38.5,31923.0,1988.0,1
1,4173,1724,30.4,44659.0,2250.0,1
0,5377,2054,15.7,54890.0,2077.0,0
0,1402,601,22.8,37216.0,617.0,0
0,2305,949,18.0,51667.0,808.0,0
0,7572,3021,15.1,53190.0,3318.0,0
0,5683,2315,19.1,52278.0,2440.0,1
0,7294,2761,14.6,63894.0,2802.0,0
0,6749,2635,20.5,41307.0,2944.0,0
1,3516,1458,29.8,41444.0,1649.0,1
0,5897,2368,19.4,48248.0,2714.0,0
0,2119,839,21.9,48750.0,966.0,1
0,3518,1387,18.8,47250.0,1570.0,0
0,5951,2389,19.2,52663.0,2563.0,1
0,4272,1906,22.0,46967.0,2174.0,0
1,4059,1660,26.0,45365.0,1701.0,1
0,5613,2328,8.0,70403.0,1868.0,0
0,4438,1794,22.0,44881.0,2137.0,0
0,7095,2749,22.0,47953.0,3339.0,0
1,3042,1128,39.7,32107.0,1954.0,1
1,2735,1031,47.0,19948.0,1513.0,1
1,3338,1187,32.6,33629.0,1970.0,1
1,2864,1190,30.4,39047.0,1921.0,1
1,2577,958,59.1,15510.0,2142.0,1
1,3859,1658,31.7,31250.0,1866.0,1
1,5355,2108,18.2,46628.0,1944.0,1
1,2876,1237,19.0,51117.0,1300.0,1
1,2181,930,16.8,51250.0,811.0,1
1,3189,1350,39.7,30021.0,1954.0,1
1,3390,1089,35.4,46660.0,1453.0,1
1,1894,707,33.6,27992.0,1460.0,0
1,3885,1372,47.0,26731.0,2852.0,0
1,3186,1209,26.8,35163.0,1619.0,1
1,2630,903,27.5,37594.0,1473.0,0
1,2936,1190,50.9,29975.0,2539.0,0
1,2952,1410,15.4,77598.0,805.0,1
1,3259,1689,10.2,93250.0,946.0,1
1,3629,1593,45.0,30179.0,2704.0,1
1,3992,1526,37.5,57500.0,1508.0,0
1,2064,1066,40.5,36573.0,1120.0,1
1,3779,1004,29.6,41550.0,1413.0,1
1,2203,971,48.4,26000.0,1709.0,1
1,3637,1412,42.0,30993.0,3045.0,1
1,931,403,43.3,25694.0,955.0,0
1,947,415,31.4,35735.0,545.0,0
1,2477,960,40.0,22150.0,1382.0,0
1,2795,1010,28.0,40230.0,1189.0,1
1,4683,1857,17.1,51136.0,2129.0,1
1,5063,1907,34.8,32535.0,3228.0,0
1,5409,1988,21.7,42459.0,2740.0,1
1,4199,1667,25.1,37321.0,2019.0,0
1,1783,747,36.7,31250.0,784.0,1
1,3772,1699,43.6,30139.0,1868.0,1
1,2341,1044,34.3,32500.0,1237.0,0
1,5003,1431,61.6,,2026.0,0
1,3480,2128,15.2,100788.0,1017.0,0
1,2944,1690,6.7,128409.0,483.0,0
1,1861,1212,10.7,112891.0,505.0,0
1,1167,845,23.7,103750.0,418.0,0
1,3146,1737,20.9,70882.0,1403.0,0
1,3482,1616,27.1,45625.0,1674.0,0
1,1507,669,64.3,17000.0,1549.0,0
1,2587,1224,21.1,46790.0,1343.0,0
1,3648,1670,25.3,35278.0,1883.0,0
1,3740,1488,17.4,37228.0,2087.0,0
1,3463,1455,8.7,79050.0,630.0,1
1,2167,839,48.9,23073.0,1435.0,1
1,4578,2375,9.4,70040.0,1400.0,0
1,2372,1020,19.5,47917.0,1257.0,1
1,3413,1418,30.4,34063.0,1562.0,1
1,4216,2101,26.6,44734.0,1718.0,1
1,4950,2025,20.0,57597.0,2156.0,1
1,5174,2026,19.9,45995.0,2885.0,1
1,2096,780,6.6,67891.0,772.0,1
1,4101,1641,27.5,36699.0,2040.0,0
1,2539,952,22.6,55339.0,952.0,1
1,5234,1925,15.1,70154.0,2052.0,1
1,5289,2210,12.4,38930.0,2364.0,0
1,4932,1935,11.6,49279.0,1973.0,1
1,2007,782,38.5,36319.0,829.0,1
1,2743,976,19.7,47786.0,1905.0,0
1,2685,1107,40.0,41250.0,1793.0,0
1,4117,1601,40.6,28664.0,2603.0,1
1,3765,1469,32.2,40492.0,2449.0,0
1,1855,737,14.7,54327.0,987.0,1
1,1628,613,26.8,33365.0,806.0,1
